0.01,Therapeutic ultrasound of vessels of head and neck 
0.02,Therapeutic ultrasound of heart 
0.03,Therapeutic ultrasound of peripheral vascular vessels 
0.07,Other hip procedures 
0.08,Other knee and hip procedures 
0.09,Other therapeutic ultrasound 
0.1,Implantation of chemotherapeutic agent 
0.11,Infusion of drotrecogin alfa (activated) 
0.12,Administration of inhaled nitric oxide 
0.13,Injection or infusion of nesiritide 
0.14,Injection or infusion of oxazolidinone class of antibiotics 
0.15,High-dose infusion interleukin-2 [IL-2] 
0.16,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance 
0.17,Infusion of vasopressor agent 
0.18,Infusion of immunosuppressive antibody therapy during induction phase of solid organ transplan 
0.19,Disruption of blood brain barrier via infusion (bbbd) 
0.21,Intravascular imaging of extracranial cerebral vessels 
0.22,Intravascular imaging of intrathoracic vessels 
0.23,Intravascular imaging of peripheral vessels 
0.24,Intravascular imaging of coronary vessels 
0.25,Intravascular imaging of renal vessels 
0.28,"Intravascular imaging, other specified vessel(s) "
0.29,"Intravascular imaging, unspecified vessel(s) "
0.31,Computer assisted surgery with CT/CTA 
0.32,Computer assisted surgery with MR/MRA 
0.33,Computer assisted surgery with fluoroscopy 
0.34,Imageless computer assisted surgery 
0.35,Computer assisted surgery with multiple datasets 
0.39,Other computer assisted surgery 
0.4,"Adjunct vascular system procedures, Procedure on single vessel "
0.41,"Adjunct vascular system procedures, procedure on two vessels "
0.42,"Adjunct vascular system procedures,Prosedure on three vessels "
0.43,"Adjunct vascular system procedures,Procedure on four or more vessels "
0.44,"Adjunct vascular system procedures,Procedure on vessel bifurcation "
0.45,"Adjunct vascular system procedures,Insertion of one vascular stent "
0.46,"Adjunct vascular system procedures, Insertion of two vascular stents "
0.47,"Adjunct vascular system procedures,Insertion of three vascular stents "
0.48,"Adjunct vascular system procedures,Insertion of four or more vascular stents "
0.49,SuperSaturated oxygen therapy 
0.5,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total s "
0.51,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D] "
0.52,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary ven 
0.53,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P 
0.54,Implantation or replacement of cardiac resynchronization defibrillator pulse generator device 
0.55,Insertion of drug-eluting peripheral vessel stent(s) 
0.56,Insertion or replacement of implantable pressure sensor (lead) for intracardiac hemodynamic mo 
0.57,Implantation or replacement of subcutaneous device for intracardiac hemodynamic monitoring 
0.58,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative) 
0.59,Intravascular pressure measurement o coronary arteries 
0.61,Percutaneous angioplasty or atherectomy of precerebral (extracranial) vessel(s) 
0.62,Percutaneous angioplasty or atherectomy of intracranial vessel(s) 
0.63,Percutaneous insertion of carotid artery stent(s) 
0.64,Percutaneous insertion of other precerebral (extracranial) artery stent(s) 
0.65,Percutaneous insertion of intracranial vascular stent(s) 
0.66,Parcutaneous transluminal coronary angioplasty (PTCA) or coronary atherectomy 
0.66,Parcutaneous transluminal coronary angioplasty (PTCA) or coronary atherectomy 
0.67,Intravascular pressure measurement of intrathoracic arteries 
0.68,Intravascular pressure measurement of peripheral arteries 
0.69,Intravascular pressure measurement of other specified and unspecified vessels 
0.7,"Revision of hip replacement, both acetabular and femoral components "
0.71,"Revision of hip replacement, acetabular component "
0.72,"Revision of hip replacement,femoral component "
0.73,"Revision of hip replacement, acetabular liner and/or femoral head only "
0.74,"Hip bearing surface, metal on polyethylene "
0.75,"Hip bearing surface, metal-on-metal "
0.76,"Hip bearing surface, ceramic-on-ceramic "
0.77,"Hip bearing surface, ceramic on polyethylene "
0.8,"Revision of knee replacement, total (all components) "
0.81,"Revision of knee replacement, tibial component "
0.82,"Revision of knee replacement, femoral component "
0.83,"Revision of knee replacement,patellar component "
0.84,"Revision of total knee replacement, tibial insertion (liner) "
0.85,"Resurfacing hip, total, acetabulum and femoral head "
0.86,"Resurfacing hip, partial, femoral head "
0.87,"Resurfacing hip,partial, acetabulum "
0.91,Transplant from live related donor 
0.92,Transplant from live non-related donor 
0.93,Transplant from cadaver 
0.94,Intra-operative neurophysiologic monitoring 
1.01,Cisternal puncture 
1.02,Ventriculopuncture through previously implanted catheter 
1.09,Other cranial puncture 
1.1,Intracranial pressure monitoring 
1.11,Closed [percutaneous] [needle] biopsy of cerebral meninges 
1.12,Open biopsy of cerebral meninges 
1.13,Closed [percutaneous] [needle] biopsy of brain 
1.14,Open biopsy of brain 
1.15,Biopsy of skull 
1.16,Intracranial oxygen monitoring 
1.17,Brain temperature monitoring 
1.18,Other diagnostic procedures on brain and cerebral meninges 
1.19,Other diagnostic procedures on skull 
1.21,Incision and drainage of cranial sinus 
1.22,Removal of intracranial neurostimulator lead(s) 
1.23,Reopening of craniotomy site 
1.24,Other craniotomy 
1.25,Other craniectomy 
1.26,Insertion of catheter(s)into cranial cavity or tissue 
1.27,Removal of catheter(s) from cranial cavity or tissue 
1.28,Placement of intracerebelar catheter(s) via burr hole(s) 
1.31,Incision of cerebral meninges 
1.32,Lobotomy and tractotomy 
1.39,Other incision of brain 
1.41,Operations on thalamus 
1.42,Operations on globus pallidus 
1.51,Excision of lesion or tissue of cerebral meninges 
1.52,Hemispherectomy 
1.53,Lobectomy of brain 
1.59,Other excision or destruction of lesion or tissue of brain 
1.6,Excision of lesion of skull 
1.6,Excision of lesion of skull 
2.01,Opening of cranial suture 
2.02,Elevation of skull fracture fragments 
2.03,Formation of cranial bone flap 
2.04,Bone graft to skull 
2.05,Insertion of skull plate 
2.06,Other cranial osteoplasty 
2.07,Removal of skull plate 
2.11,Simple suture of dura mater of brain 
2.12,Other repair of cerebral meninges 
2.13,Ligation of meningeal vessel 
2.14,Choroid plexectomy 
2.2,Ventriculostomy 
2.31,Ventricular shunt to structure in head and neck 
2.32,Ventricular shunt to circulatory system 
2.33,Ventricular shunt to thoracic cavity 
2.34,Ventricular shunt to abdominal cavity and organs 
2.35,Ventricular shunt to urinary system 
2.39,Other operations to establish drainage of ventricle 
2.41,Irrigation of ventricular shunt 
2.42,Replacement of ventricular shunt 
2.43,Removal of ventricular shunt 
2.91,Lysis of cortical adhesions 
2.92,Repair of brain 
2.93,Implantation of intracranial neurostimulator 
2.94,Insertion or replacement of skull tongs or halo traction device 
2.95,Removal of skull tongs or halo traction device 
2.96,Insertion of sphenoidal electrodes 
2.99,"Other operations on skull, brain, and cerebral meninges "
3.01,Removal of foreign body from spinal canal 
3.02,Reopening of laminectomy site 
3.09,Other exploration and decompression of spinal canal 
3.1,Division of intraspinal nerve root 
3.21,Percutaneous chordotomy 
3.29,Other chordotomy 
3.31,Spinal tap 
3.32,Biopsy of spinal cord or spinal meninges 
3.39,Other diagnostic procedures on spinal cord and spinal canal structur 
3.4,Excision or destruction of lesion of spinal cord or spinal meninges 
3.51,Repair of spinal meningocele 
3.52,Repair of spinal myelomeningocele 
3.53,Repair of vertebral fracture 
3.59,Other repair and plastic operations on spinal cord structures 
3.6,Lysis of adhesions of spinal cord and nerve roots 
3.71,Spinal subarachnoid-peritoneal shunt 
3.72,Spinal subarachnoid-ureteral shunt 
3.79,Other shunt of spinal theca 
3.8,Injection of destructive agent into spinal canal 
3.9,Insertion of catheter into spinal canal for infusion of therapeutic 
3.91,Injection of anesthetic into spinal canal for analgesia 
3.92,Injection of other agent into spinal canal 
3.93,Implantation or replacement of spinal neurostimulator lead(s) 
3.94,Removal of spinal neurostimulator lead(s) 
3.95,Spinal blood patch 
3.96,Percutaneous denervation of facet 
3.97,Revision of spinal thecal shunt 
3.98,Removal of spinal thecal shunt 
3.99,Other operations on spinal cord and spinal canal structures 
4.01,Excision of acoustic neuroma 
4.02,Division of trigeminal nerve 
4.03,Division or crushing of other cranial and peripheral nerves 
4.04,Other incision of cranial and peripheral nerves 
4.05,Gasserian ganglionectomy 
4.06,Other cranial or peripheral ganglionectomy 
4.07,Other excision or avulsion of cranial and peripheral nerves 
4.11,Closed (percutaneous) (needle) biopsy of cranial or peripheral nerve or ganglion 
4.12,Open biopsy of cranial or peripheral nerve or ganglion 
4.19,Other diagnostic procedures on cranial and peripheral nerves and ganglia 
4.2,Destruction of cranial and peripheral nerves 
4.3,Suture of cranial and peripheral nerves 
4.41,Decompression of trigeminal nerve root 
4.42,Other cranial nerve decompression 
4.43,Release of carpal tunnel 
4.44,Lysis of adhesions and decompression of cranial 
4.49,Other peripheral nerve or ganglion decompression or lysis of adhesions 
4.5,Cranial or peripheral nerve graft 
4.6,Transposition of cranial and peripheral nerves 
4.71,Hypoglossal-facial anastomosis 
4.72,Accessory-facial anastomosis 
4.73,Accessory-hypoglossal anastomosis 
4.74,Other anastomosis of cranial or peripheral nerve 
4.75,Revision of previous repair of cranial and peripheral nerves 
4.76,Repair of old traumatic injury of cranial and peripheral nerves 
4.79,Other neuroplasty 
4.8,"Peripheral nerve injection, not otherwise specified "
4.81,Injection of anesthetic into peripheral nerve for analgesia 
4.89,"Injection of other agent, except neurolytic "
4.91,Neurectasis 
4.92,Implantation or replacement of peripheral neurostimulator lead(s) 
4.93,Removal of peripheral neurostimulator lead(s) 
4.99,Other operations on cranial and peripheral nerves 
5,Division of sympathetic nerve or ganglion 
5.11,Biopsy of sympathetic nerve or ganglion 
5.19,Other diagnostic procedures on sympathetic nerves or ganglia 
5.21,Sphenopalatine ganglionectomy 
5.22,Cervical sympathectomy 
5.23,Lumbar sympathectomy 
5.24,Presacral sympathectomy 
5.25,Periarterial sympathectomy 
5.29,Other sympathectomy and ganglionectomy 
5.31,Injection of anesthetic into sympathetic nerve for analgesia 
5.32,Injection of neurolytic agent into sympathetic nerve 
5.39,Other injection into sympathetic nerve or ganglion 
5.81,Repair of sympathetic nerve or ganglion 
5.89,Other operations on sympathetic nerves or ganglia 
5.9,Other operations on nervous system 
6.01,Aspiration of thyroid field 
6.02,Reopening of wound of thyroid field 
6.09,Other incision of thyroid field 
6.11,Closed (percutaneous) (needle) biopsy of thyroid gland 
6.12,Open biopsy of thyroid gland 
6.13,Biopsy of parathyroid gland 
6.19,Other diagnostic procedures on thyroid and parathyroid glands 
6.2,Unilateral thyroid lobectomy 
6.31,Excision of lesion of thyroid 
6.39,other partial thyroidectomy 
6.4,Complete thyroidectomy 
6.5,"Substernal thyroidectomy, not otherwise specified "
6.51,Partial substernal thyroidectomy 
6.52,Complete substernal thyroidectomy 
6.6,Excision of lingual thyroid 
6.7,Excision of thyroglossal duct or tract 
6.81,Complete parathyroidectomy 
6.89,Other parathyroidectomy 
6.91,Division of thyroid isthmus 
6.92,Ligation of thyroid vessels 
6.93,Suture of thyroid gland 
6.94,Thyroid tissue reimplantation 
6.95,Parathyroid tissue reimplantation 
6.98,Other operations on thyroid glands 
6.99,Other operations on parathyroid glands 
7,"Exploration of adrenal field, not otherwise specified "
7.01,Unilateral exploration of adrenal field 
7.02,Bilateral exploration of adrenal field 
7.11,Closed (percutaneous) (needle) biopsy of adrenal gland 
7.12,Open biopsy of adrenal gland 
7.13,"Biopsy of pituitary gland, transfrontal approach "
7.14,"Biopsy of pituitary gland, transsphenoidal approach "
7.15,"Biopsy of pituitary gland, unspecified approach "
